Subject	Phase	ADL	time
7	2.0	17.0	13.781
13	2.0	22.0	7.451
2	2.0	24.0	10.891
11	1.0	5.0	1.88
9	1.0	6.0	3.73
9	2.0	15.0	10.441
18	1.0	12.0	2.13
14	2.0	22.0	6.361
18	2.0	14.0	7.341
1	2.0	7.0	5.621
6	2.0	21.0	6.131
15	2.0	17.0	3.53
6	2.0	12.0	6.761
12	2.0	14.0	6.811
5	3.0	25.0	6.941
6	3.0	1.0	4.671
22	2.0	6.0	10.171
8	2.0	6.0	6.401
20	2.0	21.0	13.671
22	1.0	1.0	2.13
6	2.0	15.0	4.991
12	2.0	22.0	6.201
19	1.0	23.0	1.77
12	3.0	6.0	14.721
13	2.0	15.0	7.151
2	2.0	19.0	6.211
8	2.0	23.0	6.331
1	1.0	22.0	2.26
12	2.0	6.0	10.091
1	2.0	19.0	12.091
17	2.0	21.0	11.901
3	2.0	17.0	6.651
20	1.0	9.0	2.52
18	2.0	15.0	18.331
19	2.0	15.0	8.931
16	2.0	12.0	5.681
8	2.0	24.0	2.39
22	2.0	10.0	6.161
10	2.0	2.0	2.8
5	2.0	25.0	4.391
21	3.0	8.0	6.271
17	2.0	10.0	5.391
15	2.0	16.0	3.19
2	2.0	7.0	5.301
18	3.0	20.0	7.851
4	1.0	23.0	2.92
15	2.0	19.0	10.511
16	2.0	26.0	3.69
19	3.0	9.0	6.351
21	2.0	8.0	4.13
15	2.0	19.0	3.22
1	2.0	4.0	4.301
8	2.0	16.0	2.44
13	2.0	14.0	11.731
18	2.0	21.0	4.481
11	3.0	7.0	7.551
10	2.0	13.0	2.22
4	2.0	17.0	13.061
5	2.0	21.0	22.261
2	2.0	3.0	4.11
3	3.0	19.0	18.151
22	2.0	17.0	2.73
9	2.0	23.0	4.691
19	2.0	10.0	5.751
3	2.0	24.0	7.001
15	3.0	7.0	13.701
16	2.0	21.0	14.581
2	2.0	6.0	3.62
2	2.0	17.0	9.161
15	2.0	17.0	5.361
16	2.0	19.0	9.171
6	2.0	7.0	9.041
6	2.0	2.0	3.83
10	1.0	18.0	2.65
9	3.0	5.0	6.111
17	2.0	17.0	10.031
9	2.0	12.0	3.0
19	3.0	20.0	6.311
3	3.0	19.0	18.521
22	2.0	16.0	3.2
20	2.0	7.0	2.87
22	2.0	19.0	18.521
4	2.0	24.0	4.551
6	2.0	4.0	3.41
5	3.0	6.0	12.541
8	1.0	9.0	1.55
9	2.0	12.0	4.861
13	2.0	13.0	4.261
22	2.0	17.0	15.281
11	2.0	22.0	7.141
17	2.0	19.0	16.411
12	2.0	17.0	7.231
3	2.0	11.0	9.181
15	2.0	14.0	2.72
1	2.0	13.0	4.611
2	2.0	17.0	2.9
22	2.0	22.0	9.681
15	2.0	4.0	5.331
17	2.0	15.0	6.101
17	2.0	11.0	9.171
20	2.0	24.0	5.961
16	2.0	17.0	5.061
16	3.0	1.0	3.87
17	2.0	12.0	4.231
19	2.0	25.0	4.691
15	2.0	10.0	4.461
7	2.0	21.0	10.281
21	1.0	8.0	2.4
20	2.0	10.0	7.351
7	1.0	12.0	2.55
11	3.0	8.0	8.031
2	2.0	19.0	4.971
10	2.0	21.0	14.891
11	2.0	21.0	5.331
9	2.0	6.0	7.801
4	2.0	13.0	7.601
18	2.0	13.0	8.031
22	2.0	4.0	6.831
8	2.0	17.0	8.521
8	1.0	20.0	2.46
2	2.0	17.0	16.321
15	2.0	18.0	6.021
2	2.0	14.0	8.621
8	3.0	18.0	8.591
16	2.0	14.0	12.641
22	2.0	17.0	15.861
14	1.0	26.0	1.48
4	3.0	19.0	14.121
1	2.0	17.0	20.381
2	2.0	19.0	14.081
2	2.0	15.0	14.961
15	3.0	2.0	4.771
9	2.0	26.0	7.511
21	2.0	7.0	2.52
15	2.0	7.0	11.631
22	2.0	16.0	8.331
12	2.0	24.0	2.6
14	2.0	14.0	1.75
15	2.0	17.0	8.561
18	3.0	21.0	18.951
5	3.0	4.0	6.811
5	1.0	9.0	2.23
17	2.0	10.0	3.7
3	1.0	17.0	1.85
17	2.0	21.0	8.761
16	3.0	6.0	11.611
6	2.0	17.0	8.761
8	2.0	13.0	4.291
2	2.0	21.0	9.001
9	2.0	19.0	8.691
12	2.0	6.0	7.821
7	2.0	10.0	5.561
8	2.0	17.0	10.101
20	2.0	17.0	13.831
1	2.0	24.0	5.161
18	2.0	22.0	4.171
13	2.0	9.0	2.34
16	2.0	10.0	4.821
9	2.0	11.0	4.991
15	2.0	11.0	1.86
4	2.0	10.0	12.211
5	2.0	11.0	6.821
9	2.0	22.0	8.771
1	2.0	21.0	5.571
22	2.0	11.0	3.67
10	2.0	6.0	5.821
11	3.0	21.0	16.671
13	2.0	14.0	13.711
17	3.0	14.0	19.431
18	2.0	17.0	20.721
7	1.0	16.0	1.67
15	2.0	13.0	6.481
21	2.0	21.0	16.391
20	1.0	8.0	1.78
10	2.0	19.0	5.411
9	2.0	5.0	4.02
22	3.0	22.0	11.031
9	2.0	15.0	10.411
3	2.0	12.0	7.691
15	2.0	11.0	6.921
11	2.0	21.0	10.951
15	2.0	11.0	7.671
9	3.0	5.0	5.091
4	2.0	3.0	6.021
22	2.0	2.0	4.821
2	1.0	4.0	2.4
6	2.0	2.0	4.351
15	2.0	7.0	6.961
5	2.0	1.0	5.681
20	2.0	17.0	5.631
7	2.0	7.0	12.531
7	2.0	3.0	6.631
13	2.0	19.0	12.251
2	2.0	22.0	6.951
12	1.0	18.0	1.81
21	2.0	7.0	7.551
11	2.0	15.0	13.011
4	2.0	10.0	2.55
17	2.0	14.0	7.951
4	2.0	24.0	3.21
5	2.0	17.0	29.331
17	2.0	7.0	5.881
19	2.0	17.0	19.541
19	2.0	14.0	6.771
20	1.0	8.0	1.68
13	2.0	11.0	2.8
18	1.0	6.0	2.5
1	2.0	14.0	15.731
7	3.0	2.0	5.811
20	2.0	5.0	4.941
7	3.0	9.0	6.741
12	3.0	6.0	15.231
22	2.0	6.0	2.28
2	2.0	6.0	9.451
18	2.0	17.0	17.711
8	2.0	21.0	12.801
1	2.0	16.0	4.08
13	2.0	19.0	4.901
18	2.0	7.0	6.091
2	2.0	17.0	19.781
10	2.0	10.0	8.311
15	1.0	9.0	2.33
14	2.0	22.0	3.35
10	2.0	23.0	6.741
14	1.0	6.0	2.07
2	2.0	14.0	16.381
22	3.0	4.0	8.721
16	2.0	21.0	20.481
19	2.0	11.0	4.14
9	2.0	20.0	3.67
19	2.0	3.0	5.371
20	2.0	4.0	3.69
5	3.0	3.0	6.711
5	2.0	3.0	4.261
5	2.0	17.0	20.251
3	2.0	11.0	8.731
5	3.0	8.0	7.751
11	2.0	26.0	7.841
7	2.0	6.0	6.421
13	2.0	21.0	11.101
2	3.0	17.0	26.451
12	2.0	15.0	9.481
2	2.0	21.0	11.991
11	2.0	1.0	3.64
3	1.0	16.0	2.33
16	3.0	9.0	4.701
11	2.0	4.0	3.22
13	2.0	17.0	8.801
16	2.0	21.0	10.061
15	2.0	6.0	5.211
20	1.0	15.0	2.0
4	2.0	13.0	6.511
17	2.0	13.0	3.56
11	2.0	14.0	11.431
16	2.0	21.0	10.171
20	2.0	8.0	3.39
7	2.0	10.0	7.121
22	2.0	16.0	2.24
2	2.0	14.0	7.631
8	2.0	12.0	7.251
15	2.0	17.0	10.181
14	3.0	26.0	8.971
9	2.0	13.0	2.18
13	2.0	3.0	2.18
7	3.0	25.0	7.771
16	2.0	21.0	4.991
21	2.0	21.0	7.151
8	2.0	19.0	9.341
9	2.0	13.0	3.95
10	3.0	19.0	28.991
9	2.0	23.0	7.041
8	2.0	11.0	3.81
18	2.0	18.0	2.96
13	3.0	7.0	8.991
4	3.0	25.0	9.161
11	2.0	18.0	6.201
21	2.0	12.0	5.371
18	2.0	15.0	13.881
10	2.0	17.0	9.881
15	3.0	21.0	22.041
8	2.0	21.0	4.731
9	2.0	11.0	7.541
20	2.0	10.0	6.831
2	2.0	17.0	10.581
17	2.0	7.0	13.911
11	3.0	22.0	10.271
4	2.0	13.0	4.351
1	2.0	21.0	18.811
20	2.0	24.0	2.63
10	1.0	18.0	2.77
20	2.0	17.0	3.96
13	2.0	6.0	3.55
18	2.0	8.0	4.341
15	2.0	17.0	12.781
18	3.0	13.0	10.581
20	2.0	11.0	7.191
5	2.0	2.0	4.381
13	3.0	9.0	6.271
17	2.0	6.0	3.56
17	2.0	15.0	18.631
18	2.0	2.0	3.19
21	3.0	24.0	7.351
16	2.0	7.0	7.891
1	3.0	17.0	25.771
8	1.0	8.0	2.83
16	2.0	3.0	2.8
8	2.0	3.0	3.31
15	2.0	17.0	11.011
3	2.0	4.0	5.031
18	2.0	15.0	9.581
10	2.0	13.0	4.601
19	2.0	5.0	2.7
5	3.0	6.0	11.811
7	2.0	7.0	4.781
16	2.0	17.0	3.65
6	3.0	26.0	11.981
15	1.0	1.0	2.72
18	2.0	13.0	4.961
20	2.0	17.0	5.321
7	3.0	3.0	7.501
15	2.0	21.0	15.641
14	2.0	8.0	2.87
11	2.0	26.0	4.511
17	2.0	1.0	4.781
7	3.0	23.0	9.931
20	3.0	21.0	19.811
17	2.0	16.0	5.921
12	2.0	22.0	6.631
1	2.0	18.0	5.151
6	2.0	26.0	8.051
1	2.0	4.0	4.431
1	2.0	20.0	4.391
14	3.0	23.0	9.471
1	1.0	16.0	2.15
2	2.0	21.0	19.341
3	1.0	16.0	2.34
9	3.0	23.0	9.861
10	2.0	7.0	5.861
18	2.0	19.0	9.901
18	2.0	24.0	5.341
22	2.0	6.0	11.831
8	2.0	22.0	6.891
15	3.0	23.0	10.451
19	2.0	18.0	2.52
3	3.0	13.0	8.371
19	2.0	15.0	8.141
12	2.0	6.0	3.93
5	2.0	7.0	7.841
8	3.0	16.0	9.171
9	2.0	22.0	5.181
12	1.0	22.0	2.36
20	2.0	15.0	8.271
19	2.0	19.0	11.541
2	2.0	21.0	12.431
5	3.0	19.0	15.531
16	2.0	21.0	5.461
3	2.0	26.0	4.451
12	2.0	9.0	3.7
5	2.0	22.0	11.131
18	1.0	6.0	2.27
14	1.0	10.0	1.41
1	2.0	15.0	3.94
14	1.0	4.0	2.11
14	2.0	8.0	2.22
22	2.0	3.0	2.62
10	2.0	18.0	8.351
17	2.0	19.0	8.922
1	2.0	8.0	4.401
9	3.0	5.0	4.591
10	3.0	1.0	5.981
20	2.0	10.0	2.71
19	2.0	14.0	15.051
17	3.0	9.0	4.381
7	2.0	17.0	11.781
14	2.0	14.0	14.151
1	3.0	10.0	10.301
21	2.0	21.0	15.151
13	3.0	24.0	9.941
18	2.0	26.0	8.461
8	2.0	17.0	7.621
15	2.0	14.0	6.661
10	2.0	21.0	8.001
4	2.0	7.0	7.711
13	2.0	21.0	5.561
18	2.0	20.0	6.711
5	2.0	23.0	6.021
11	2.0	1.0	3.9
12	2.0	16.0	5.811
22	2.0	17.0	7.401
2	2.0	11.0	10.611
12	2.0	6.0	8.571
16	2.0	22.0	3.1
12	2.0	21.0	3.96
8	2.0	11.0	5.491
20	1.0	3.0	2.37
16	3.0	26.0	10.861
21	2.0	19.0	2.58
7	2.0	25.0	6.071
5	3.0	11.0	11.351
8	2.0	11.0	4.01
8	2.0	10.0	4.371
16	2.0	10.0	8.721
14	3.0	13.0	6.801
15	2.0	13.0	10.501
5	2.0	21.0	11.161
1	3.0	22.0	9.201
12	1.0	10.0	2.35
6	3.0	9.0	4.01
14	2.0	2.0	4.841
8	2.0	10.0	3.36
15	2.0	25.0	6.191
21	3.0	12.0	11.381
7	3.0	4.0	6.491
1	2.0	3.0	3.97
9	2.0	17.0	8.211
2	2.0	14.0	9.151
16	2.0	17.0	15.441
2	2.0	25.0	9.641
2	2.0	10.0	7.941
17	2.0	17.0	22.831
17	2.0	13.0	9.121
21	2.0	19.0	3.24
18	2.0	7.0	8.071
3	3.0	3.0	7.311
19	2.0	21.0	4.751
21	2.0	14.0	6.721
19	3.0	16.0	9.161
20	2.0	15.0	4.12
21	2.0	24.0	2.46
13	2.0	6.0	7.641
3	2.0	12.0	4.281
22	1.0	4.0	2.73
5	2.0	17.0	26.231
22	2.0	11.0	5.511
22	3.0	4.0	9.841
3	1.0	10.0	2.33
18	2.0	4.0	5.271
7	2.0	17.0	24.961
9	3.0	20.0	6.711
21	2.0	16.0	5.031
7	2.0	26.0	7.021
6	2.0	11.0	6.111
1	2.0	15.0	8.921
8	2.0	16.0	8.521
21	3.0	11.0	11.891
19	2.0	17.0	15.791
4	2.0	25.0	3.62
15	2.0	21.0	14.401
4	1.0	22.0	2.27
10	3.0	13.0	8.331
1	2.0	21.0	19.861
21	2.0	21.0	5.931
1	2.0	6.0	11.631
3	2.0	6.0	10.531
12	2.0	19.0	10.271
6	3.0	10.0	10.261
3	2.0	16.0	5.871
17	3.0	17.0	28.391
22	2.0	24.0	3.07
4	2.0	7.0	6.921
2	2.0	24.0	3.62
21	2.0	9.0	3.25
20	2.0	15.0	8.061
9	3.0	24.0	13.361
3	2.0	5.0	4.811
8	2.0	12.0	2.52
1	3.0	8.0	5.421
2	3.0	22.0	12.611
10	2.0	12.0	9.541
8	1.0	18.0	2.77
19	2.0	11.0	3.51
9	2.0	26.0	6.891
12	3.0	5.0	6.481
13	2.0	21.0	9.611
18	2.0	7.0	11.501
11	2.0	5.0	5.011
21	3.0	8.0	7.281
13	2.0	12.0	2.21
16	2.0	16.0	3.28
1	2.0	23.0	4.321
8	3.0	8.0	7.201
3	2.0	14.0	3.5
6	3.0	14.0	9.981
22	2.0	2.0	3.87
4	3.0	19.0	14.851
13	2.0	11.0	7.311
17	2.0	3.0	4.361
14	2.0	22.0	6.401
4	2.0	24.0	8.581
8	3.0	2.0	7.251
11	2.0	24.0	4.511
11	2.0	26.0	3.37
11	2.0	5.0	3.33
5	3.0	13.0	10.701
8	2.0	12.0	2.71
2	3.0	1.0	6.221
4	3.0	21.0	22.951
12	3.0	17.0	20.251
2	2.0	13.0	4.461
15	2.0	7.0	7.191
22	2.0	15.0	7.251
18	3.0	16.0	9.011
13	1.0	15.0	1.84
20	2.0	19.0	10.381
18	2.0	26.0	5.201
10	1.0	26.0	1.06
13	2.0	24.0	6.741
5	2.0	22.0	6.081
11	1.0	15.0	1.76
11	2.0	15.0	11.501
2	2.0	25.0	5.411
5	2.0	17.0	4.471
1	2.0	7.0	6.231
9	2.0	23.0	7.871
3	2.0	11.0	4.711
13	1.0	5.0	2.74
19	2.0	16.0	5.871
16	2.0	15.0	3.49
18	2.0	19.0	10.501
22	3.0	14.0	20.541
7	2.0	11.0	8.581
22	2.0	10.0	4.541
15	2.0	14.0	7.601
18	3.0	9.0	4.01
13	2.0	7.0	3.96
15	2.0	17.0	13.391
17	2.0	4.0	5.611
8	1.0	5.0	1.37
8	2.0	6.0	6.421
11	1.0	10.0	2.29
2	2.0	16.0	5.311
18	2.0	10.0	13.721
13	2.0	10.0	3.08
13	2.0	14.0	3.59
18	2.0	21.0	15.091
22	2.0	15.0	4.921
9	3.0	4.0	6.301
14	2.0	19.0	2.21
15	2.0	8.0	3.07
13	3.0	8.0	5.811
10	2.0	17.0	7.351
8	1.0	2.0	1.45
5	1.0	22.0	1.96
13	3.0	16.0	7.681
21	2.0	9.0	4.221
7	2.0	25.0	6.651
4	2.0	6.0	9.751
3	1.0	7.0	2.09
5	2.0	13.0	3.8
6	2.0	7.0	7.921
11	2.0	21.0	8.781
1	2.0	17.0	12.791
8	3.0	26.0	9.761
18	1.0	5.0	2.14
14	2.0	11.0	5.651
14	2.0	17.0	14.071
21	2.0	8.0	4.251
16	2.0	15.0	16.491
6	2.0	14.0	9.751
22	2.0	17.0	9.161
16	1.0	18.0	2.57
4	2.0	24.0	9.751
6	2.0	18.0	4.641
15	2.0	22.0	6.411
20	3.0	19.0	20.161
2	2.0	12.0	11.371
5	3.0	20.0	9.681
11	2.0	17.0	12.121
21	1.0	12.0	1.95
11	2.0	21.0	10.821
3	2.0	23.0	3.43
16	2.0	26.0	8.321
3	2.0	7.0	4.571
8	1.0	20.0	1.87
9	2.0	8.0	3.23
8	3.0	1.0	4.311
4	3.0	17.0	22.841
16	2.0	21.0	14.881
14	2.0	11.0	6.791
4	2.0	13.0	4.451
21	2.0	15.0	2.56
15	3.0	20.0	7.041
8	3.0	9.0	4.321
9	2.0	19.0	5.711
3	2.0	15.0	11.691
4	2.0	19.0	3.81
12	2.0	26.0	8.581
9	3.0	7.0	7.751
18	1.0	13.0	2.36
10	2.0	11.0	3.03
13	2.0	24.0	3.81
15	2.0	13.0	6.631
12	2.0	17.0	13.141
2	2.0	17.0	11.241
22	3.0	10.0	16.341
11	2.0	4.0	5.821
10	2.0	14.0	8.621
17	2.0	7.0	14.861
10	2.0	17.0	19.381
21	2.0	21.0	12.831
3	1.0	23.0	2.13
20	1.0	9.0	2.65
14	2.0	22.0	4.501
8	2.0	24.0	4.151
14	1.0	17.0	1.74
4	2.0	6.0	8.501
5	2.0	21.0	4.831
10	2.0	21.0	6.371
19	2.0	8.0	3.18
22	2.0	22.0	6.491
15	2.0	16.0	4.361
13	2.0	26.0	5.461
5	2.0	15.0	11.311
13	2.0	3.0	2.87
20	2.0	15.0	9.651
3	2.0	17.0	12.321
14	2.0	19.0	1.2
5	2.0	17.0	7.681
22	2.0	17.0	10.841
15	2.0	13.0	11.741
22	2.0	17.0	5.821
22	2.0	7.0	8.041
18	2.0	15.0	16.791
15	2.0	17.0	18.881
5	2.0	17.0	24.191
22	2.0	21.0	12.981
10	2.0	17.0	17.291
20	2.0	22.0	5.431
1	2.0	18.0	4.921
12	2.0	6.0	10.521
18	2.0	24.0	6.971
10	1.0	5.0	1.42
21	1.0	6.0	2.14
5	2.0	24.0	2.88
8	2.0	19.0	2.63
17	2.0	21.0	15.481
10	2.0	13.0	1.5
13	2.0	23.0	4.231
7	2.0	14.0	13.811
20	2.0	15.0	15.151
15	1.0	19.0	1.66
10	3.0	9.0	3.39
4	3.0	15.0	15.901
1	2.0	1.0	3.66
10	2.0	12.0	5.701
1	2.0	16.0	6.861
10	2.0	12.0	7.921
15	2.0	16.0	7.451
15	2.0	18.0	7.641
9	2.0	22.0	7.061
17	2.0	26.0	4.401
18	3.0	16.0	9.421
20	1.0	11.0	1.72
5	2.0	21.0	18.341
7	2.0	7.0	8.631
17	1.0	16.0	2.03
17	2.0	12.0	13.241
16	2.0	15.0	11.191
1	3.0	3.0	8.501
11	1.0	3.0	2.2
19	2.0	17.0	9.091
6	3.0	20.0	5.101
10	2.0	10.0	3.31
16	2.0	15.0	15.631
15	2.0	20.0	5.311
6	2.0	24.0	7.491
17	2.0	15.0	9.391
11	1.0	7.0	1.21
2	1.0	11.0	3.26
18	2.0	21.0	2.48
21	2.0	17.0	6.701
5	3.0	12.0	15.121
12	1.0	6.0	1.88
9	3.0	5.0	5.081
16	2.0	12.0	2.03
15	2.0	14.0	20.721
19	3.0	6.0	9.331
13	3.0	12.0	12.501
10	3.0	8.0	7.131
9	2.0	18.0	4.741
4	2.0	21.0	22.091
2	2.0	19.0	12.181
22	2.0	26.0	3.93
2	1.0	13.0	2.88
7	2.0	19.0	9.621
3	2.0	13.0	5.191
2	1.0	3.0	2.27
2	2.0	23.0	10.411
8	2.0	19.0	7.451
11	2.0	2.0	2.23
2	2.0	19.0	16.011
3	3.0	17.0	21.681
4	2.0	7.0	9.881
10	3.0	9.0	4.03
5	2.0	4.0	3.82
6	1.0	17.0	1.83
3	1.0	1.0	2.62
5	2.0	22.0	6.951
2	2.0	11.0	9.931
7	1.0	13.0	1.69
16	1.0	15.0	1.97
5	2.0	3.0	4.03
1	2.0	12.0	5.721
5	3.0	23.0	9.271
2	1.0	23.0	2.58
6	2.0	5.0	3.18
15	2.0	21.0	21.001
15	3.0	9.0	4.191
7	2.0	21.0	2.62
13	2.0	16.0	4.13
13	2.0	19.0	5.831
13	2.0	20.0	4.181
22	1.0	4.0	2.76
18	3.0	7.0	13.501
17	2.0	13.0	4.821
3	2.0	2.0	6.681
5	3.0	22.0	13.171
8	2.0	24.0	4.951
14	2.0	19.0	4.801
21	2.0	10.0	10.431
14	3.0	20.0	6.021
7	2.0	3.0	6.761
14	3.0	24.0	7.921
21	2.0	21.0	19.641
18	1.0	11.0	2.11
18	3.0	9.0	5.021
8	2.0	15.0	14.871
11	1.0	23.0	1.82
1	2.0	6.0	8.021
19	3.0	9.0	5.291
5	2.0	18.0	4.08
13	3.0	5.0	4.201
17	2.0	9.0	3.36
1	1.0	24.0	1.57
9	2.0	6.0	6.821
17	2.0	26.0	8.321
9	2.0	12.0	3.53
4	3.0	5.0	5.471
6	2.0	14.0	9.731
3	2.0	7.0	11.321
3	2.0	10.0	7.921
10	1.0	21.0	2.25
2	2.0	21.0	9.261
4	3.0	21.0	22.301
19	1.0	7.0	1.82
4	2.0	15.0	9.901
17	2.0	7.0	6.321
4	3.0	5.0	5.621
4	3.0	13.0	9.661
19	2.0	22.0	3.29
12	2.0	21.0	10.371
3	2.0	23.0	2.32
14	2.0	19.0	6.321
14	2.0	26.0	8.561
9	2.0	6.0	10.201
6	3.0	24.0	9.201
17	1.0	7.0	3.33
10	2.0	12.0	6.361
15	2.0	24.0	8.351
19	1.0	2.0	1.84
10	2.0	21.0	17.571
3	3.0	14.0	16.531
3	2.0	21.0	7.771
14	2.0	19.0	1.26
13	2.0	17.0	11.261
12	2.0	15.0	2.89
7	2.0	21.0	16.071
2	2.0	21.0	17.421
16	2.0	21.0	2.27
6	2.0	17.0	19.431
20	1.0	4.0	3.13
2	1.0	13.0	2.14
12	2.0	3.0	2.72
14	3.0	3.0	4.761
12	3.0	3.0	9.121
10	2.0	6.0	1.79
1	2.0	21.0	22.911
1	1.0	21.0	3.14
3	3.0	22.0	12.121
17	2.0	12.0	6.311
7	2.0	7.0	8.101
11	2.0	8.0	3.0
9	3.0	10.0	10.151
16	3.0	6.0	10.851
22	2.0	23.0	3.99
21	3.0	22.0	9.661
5	3.0	5.0	7.071
21	2.0	6.0	5.251
1	2.0	17.0	12.891
4	3.0	4.0	6.131
15	2.0	24.0	4.301
2	2.0	24.0	4.931
20	2.0	21.0	10.211
1	2.0	6.0	9.341
2	2.0	9.0	3.84
16	2.0	10.0	6.591
15	2.0	21.0	4.441
6	1.0	9.0	1.82
7	2.0	13.0	2.86
17	2.0	8.0	3.35
3	2.0	19.0	13.961
2	2.0	10.0	6.521
11	2.0	6.0	8.541
9	2.0	1.0	2.74
5	2.0	10.0	8.331
4	2.0	26.0	8.791
14	2.0	13.0	2.49
22	2.0	16.0	2.73
15	3.0	12.0	10.291
20	3.0	7.0	12.881
19	2.0	21.0	10.861
18	2.0	26.0	2.68
20	3.0	8.0	6.731
7	2.0	11.0	8.061
2	1.0	9.0	2.24
14	1.0	18.0	1.48
2	2.0	8.0	2.89
10	2.0	21.0	10.931
11	2.0	19.0	11.701
14	2.0	11.0	2.97
18	3.0	11.0	10.101
22	2.0	6.0	12.681
1	2.0	6.0	8.161
3	2.0	21.0	7.561
22	1.0	2.0	2.07
16	1.0	24.0	2.19
10	2.0	26.0	3.34
21	2.0	15.0	8.691
10	3.0	24.0	9.921
11	2.0	17.0	20.641
2	2.0	4.0	3.35
2	2.0	24.0	4.411
12	2.0	13.0	6.101
10	3.0	7.0	9.721
16	3.0	1.0	4.361
20	2.0	15.0	2.76
3	2.0	15.0	12.041
1	2.0	26.0	4.05
20	2.0	10.0	7.241
12	2.0	13.0	6.111
