Subject	Phase	ADL	time
18	2.0	21.0	5.871
7	2.0	24.0	2.9
20	2.0	19.0	16.891
3	2.0	17.0	17.451
15	1.0	1.0	1.42
21	2.0	22.0	2.96
2	2.0	26.0	8.261
4	2.0	7.0	7.501
13	2.0	16.0	4.831
5	3.0	20.0	9.051
14	2.0	16.0	3.68
5	2.0	15.0	9.931
15	2.0	14.0	5.111
18	2.0	13.0	5.031
9	3.0	17.0	20.341
19	2.0	24.0	5.041
13	3.0	9.0	6.231
14	2.0	4.0	5.541
14	2.0	6.0	6.851
15	3.0	4.0	8.181
11	2.0	23.0	6.571
10	2.0	19.0	6.821
20	2.0	10.0	5.901
13	2.0	16.0	5.301
6	1.0	23.0	2.01
2	2.0	15.0	3.83
8	2.0	26.0	5.841
15	2.0	17.0	18.271
18	2.0	22.0	4.351
6	2.0	7.0	2.89
2	2.0	23.0	11.641
13	2.0	15.0	4.751
15	2.0	13.0	11.861
10	3.0	20.0	6.781
20	3.0	21.0	19.351
20	2.0	15.0	15.511
16	2.0	4.0	2.87
22	2.0	23.0	9.101
7	3.0	7.0	13.751
6	3.0	5.0	5.411
21	2.0	10.0	4.01
15	2.0	26.0	5.561
17	2.0	14.0	15.241
13	2.0	20.0	3.08
4	2.0	6.0	3.03
10	2.0	24.0	5.641
21	2.0	21.0	16.881
10	2.0	24.0	6.551
1	2.0	17.0	16.481
15	2.0	8.0	5.561
7	2.0	15.0	13.791
21	2.0	17.0	18.211
1	2.0	14.0	4.761
8	2.0	14.0	4.07
15	2.0	23.0	4.02
22	2.0	6.0	2.93
20	2.0	17.0	17.581
21	2.0	19.0	19.291
22	1.0	20.0	1.45
19	2.0	3.0	4.05
3	2.0	21.0	4.381
2	2.0	22.0	9.351
11	3.0	17.0	26.691
15	3.0	19.0	12.461
4	2.0	10.0	10.001
4	1.0	26.0	2.36
14	2.0	16.0	3.2
16	2.0	15.0	13.381
7	2.0	10.0	10.401
20	2.0	9.0	4.301
4	2.0	7.0	4.181
2	2.0	1.0	3.84
1	2.0	17.0	5.041
3	3.0	3.0	8.141
3	3.0	16.0	10.041
21	2.0	14.0	3.47
8	2.0	20.0	4.811
13	1.0	6.0	1.85
22	2.0	19.0	2.23
2	2.0	7.0	9.211
4	2.0	21.0	11.011
5	2.0	15.0	3.03
3	2.0	12.0	8.171
22	2.0	21.0	10.291
18	2.0	12.0	5.651
5	2.0	7.0	3.96
16	2.0	4.0	3.48
13	2.0	16.0	3.1
10	1.0	22.0	2.5
15	2.0	3.0	2.58
3	2.0	13.0	7.611
2	2.0	21.0	8.001
9	2.0	8.0	3.22
2	2.0	15.0	8.631
7	2.0	11.0	3.14
1	2.0	26.0	5.931
12	2.0	3.0	5.931
11	2.0	21.0	16.441
15	2.0	14.0	7.251
17	2.0	15.0	3.19
13	3.0	8.0	5.891
1	2.0	6.0	5.151
4	2.0	14.0	8.501
16	2.0	23.0	2.12
14	2.0	12.0	9.061
10	2.0	19.0	12.221
2	2.0	23.0	5.411
4	3.0	14.0	13.501
16	2.0	26.0	7.191
16	2.0	17.0	15.891
19	2.0	17.0	8.711
21	2.0	5.0	4.961
16	2.0	19.0	18.861
4	3.0	25.0	8.211
16	2.0	22.0	5.521
6	1.0	6.0	2.15
19	2.0	6.0	8.411
13	3.0	4.0	7.201
15	2.0	7.0	9.941
4	2.0	13.0	3.9
13	2.0	3.0	3.41
4	2.0	14.0	10.441
2	2.0	21.0	8.201
10	2.0	6.0	2.24
10	2.0	11.0	6.311
1	3.0	15.0	14.511
12	3.0	24.0	10.751
17	2.0	15.0	3.97
21	2.0	15.0	8.101
5	2.0	12.0	10.771
12	2.0	16.0	7.941
11	2.0	24.0	2.39
6	2.0	7.0	11.881
14	3.0	26.0	9.691
2	2.0	17.0	8.221
11	2.0	20.0	2.56
2	2.0	7.0	4.581
21	2.0	15.0	7.601
22	2.0	21.0	13.381
6	3.0	23.0	7.301
7	2.0	17.0	14.271
20	2.0	22.0	6.671
2	2.0	17.0	16.211
2	2.0	17.0	13.561
5	1.0	10.0	2.75
4	2.0	18.0	4.941
1	1.0	7.0	2.25
17	2.0	16.0	2.85
18	1.0	16.0	2.38
11	2.0	7.0	3.98
16	2.0	15.0	10.151
15	2.0	5.0	3.28
21	2.0	26.0	3.94
22	2.0	14.0	9.381
20	2.0	6.0	6.171
18	1.0	2.0	1.83
20	2.0	22.0	9.151
13	1.0	22.0	1.34
22	2.0	6.0	3.1
11	3.0	11.0	11.161
4	2.0	16.0	7.801
13	2.0	17.0	7.661
3	2.0	6.0	5.761
2	2.0	5.0	5.361
17	2.0	6.0	5.971
5	2.0	16.0	6.281
15	2.0	18.0	7.611
20	2.0	6.0	3.15
4	2.0	20.0	4.291
2	2.0	20.0	3.51
1	3.0	10.0	10.981
4	2.0	19.0	6.581
21	2.0	21.0	18.371
11	3.0	17.0	25.771
7	3.0	13.0	8.111
2	2.0	23.0	5.011
21	2.0	14.0	6.341
11	2.0	26.0	5.561
8	1.0	19.0	1.12
11	3.0	11.0	11.601
13	1.0	20.0	2.05
7	1.0	14.0	2.44
3	2.0	17.0	10.741
13	1.0	5.0	2.25
1	3.0	4.0	5.311
2	2.0	12.0	7.131
13	2.0	1.0	3.95
5	2.0	7.0	9.871
15	3.0	4.0	8.581
16	2.0	22.0	6.801
9	1.0	15.0	2.24
2	3.0	13.0	11.701
13	2.0	5.0	3.56
16	2.0	19.0	7.871
20	2.0	23.0	7.581
7	1.0	20.0	1.74
2	2.0	24.0	15.481
13	2.0	14.0	7.131
18	2.0	10.0	4.841
19	2.0	16.0	5.221
18	3.0	2.0	6.891
1	2.0	25.0	2.22
5	2.0	19.0	8.661
15	1.0	26.0	1.45
9	2.0	26.0	3.22
4	2.0	10.0	2.13
11	2.0	17.0	8.201
9	2.0	21.0	15.081
10	2.0	1.0	3.15
21	2.0	26.0	8.981
14	1.0	25.0	1.55
6	2.0	11.0	2.62
6	2.0	10.0	4.671
21	2.0	17.0	3.32
15	3.0	10.0	12.891
3	2.0	10.0	6.211
22	3.0	4.0	10.861
15	2.0	4.0	5.211
22	2.0	7.0	7.291
19	2.0	10.0	3.07
6	2.0	17.0	13.071
6	2.0	20.0	3.12
15	2.0	19.0	10.091
17	2.0	18.0	4.221
12	2.0	10.0	11.691
21	1.0	23.0	2.27
12	2.0	20.0	4.711
1	2.0	25.0	3.55
20	2.0	19.0	16.121
16	2.0	8.0	3.44
20	2.0	6.0	8.991
14	3.0	19.0	9.401
3	2.0	23.0	8.181
17	2.0	8.0	7.051
22	2.0	19.0	18.791
16	2.0	24.0	2.73
22	3.0	14.0	19.561
5	2.0	16.0	6.641
12	2.0	6.0	9.261
17	2.0	17.0	15.061
6	2.0	21.0	16.021
13	1.0	1.0	1.85
14	2.0	12.0	5.901
19	2.0	20.0	2.94
7	2.0	14.0	6.511
11	1.0	14.0	1.25
18	2.0	21.0	3.87
7	2.0	14.0	3.26
20	2.0	16.0	5.131
20	2.0	19.0	3.99
1	1.0	24.0	1.52
12	1.0	14.0	2.12
4	2.0	17.0	12.451
17	1.0	13.0	2.58
4	2.0	7.0	2.37
17	2.0	22.0	11.511
22	3.0	10.0	15.441
9	2.0	8.0	5.471
7	3.0	13.0	7.721
11	2.0	11.0	2.75
7	2.0	17.0	5.781
11	2.0	19.0	3.6
13	1.0	18.0	1.16
4	2.0	15.0	4.511
22	3.0	1.0	4.391
13	2.0	19.0	16.601
11	3.0	20.0	7.451
19	2.0	15.0	13.161
7	2.0	8.0	4.961
3	3.0	24.0	11.241
19	3.0	2.0	5.021
9	2.0	26.0	7.591
1	2.0	11.0	8.231
3	2.0	12.0	2.69
14	2.0	23.0	3.99
21	2.0	7.0	7.781
9	2.0	25.0	2.94
11	3.0	17.0	27.551
10	2.0	19.0	23.861
7	2.0	5.0	4.231
15	2.0	17.0	14.961
9	2.0	7.0	2.5
4	2.0	19.0	7.451
18	2.0	10.0	13.131
20	2.0	7.0	5.301
5	3.0	3.0	6.351
5	2.0	16.0	5.521
20	2.0	14.0	11.271
3	2.0	19.0	3.56
13	2.0	13.0	7.041
7	2.0	17.0	14.811
21	2.0	21.0	4.611
8	2.0	25.0	3.39
7	2.0	14.0	14.211
15	2.0	24.0	2.01
22	2.0	18.0	5.261
17	2.0	21.0	6.101
7	2.0	17.0	8.831
11	2.0	14.0	6.311
22	2.0	16.0	5.091
12	2.0	26.0	5.961
6	2.0	17.0	16.691
1	1.0	7.0	2.51
3	2.0	17.0	17.571
2	2.0	21.0	24.971
22	2.0	11.0	5.261
13	2.0	18.0	5.101
16	1.0	6.0	1.67
5	3.0	8.0	6.631
17	2.0	7.0	4.221
3	2.0	17.0	16.471
4	2.0	13.0	5.421
22	2.0	3.0	3.35
13	2.0	8.0	3.5
7	2.0	25.0	5.271
1	2.0	17.0	21.511
6	3.0	12.0	9.511
2	2.0	16.0	5.811
8	2.0	19.0	6.091
9	1.0	20.0	2.23
15	2.0	14.0	3.79
12	1.0	20.0	2.03
16	1.0	16.0	2.14
7	2.0	16.0	4.14
11	2.0	22.0	5.281
4	2.0	12.0	4.801
9	2.0	15.0	12.431
15	2.0	6.0	14.611
16	2.0	3.0	2.72
11	2.0	23.0	4.991
17	2.0	25.0	6.041
17	2.0	21.0	18.171
21	2.0	18.0	3.18
12	2.0	15.0	3.75
22	3.0	13.0	7.121
17	2.0	22.0	12.321
2	2.0	4.0	6.891
10	1.0	10.0	2.46
4	1.0	25.0	2.13
13	3.0	8.0	6.011
1	2.0	21.0	20.921
22	3.0	10.0	15.571
3	1.0	15.0	1.78
22	2.0	16.0	7.441
14	3.0	16.0	7.751
22	3.0	25.0	9.941
12	2.0	22.0	6.151
14	2.0	23.0	2.45
7	2.0	6.0	6.021
22	2.0	6.0	9.781
22	3.0	11.0	11.721
4	2.0	8.0	2.99
8	2.0	10.0	3.5
2	2.0	21.0	14.291
13	3.0	25.0	7.211
2	2.0	17.0	12.981
18	2.0	12.0	3.42
1	2.0	17.0	19.791
18	2.0	15.0	12.031
16	3.0	13.0	8.531
7	1.0	9.0	2.16
13	1.0	2.0	1.72
7	2.0	6.0	5.721
1	2.0	25.0	4.871
22	2.0	22.0	10.061
22	1.0	15.0	2.35
11	1.0	1.0	2.03
10	2.0	21.0	17.371
19	2.0	21.0	9.461
7	2.0	19.0	7.781
18	2.0	8.0	4.311
5	2.0	12.0	11.521
5	2.0	15.0	6.991
12	2.0	11.0	4.04
15	2.0	4.0	4.411
7	2.0	26.0	6.841
3	2.0	8.0	4.271
16	3.0	23.0	9.321
19	2.0	7.0	5.351
4	2.0	14.0	6.571
8	2.0	17.0	3.93
21	2.0	23.0	5.261
18	2.0	13.0	7.621
1	2.0	17.0	20.541
1	1.0	14.0	2.19
15	2.0	26.0	2.02
4	2.0	26.0	4.12
16	1.0	15.0	1.64
20	1.0	19.0	2.54
9	2.0	15.0	9.571
1	2.0	12.0	3.22
11	2.0	13.0	2.48
2	2.0	6.0	5.311
7	2.0	21.0	5.631
7	2.0	15.0	7.641
14	2.0	17.0	9.241
22	2.0	24.0	5.251
2	2.0	17.0	25.121
11	2.0	17.0	9.201
6	1.0	17.0	1.63
17	2.0	19.0	18.531
3	2.0	25.0	4.591
19	2.0	19.0	14.551
14	2.0	26.0	1.79
3	2.0	6.0	7.271
13	2.0	24.0	6.281
2	2.0	24.0	5.661
6	2.0	6.0	7.381
7	2.0	3.0	6.421
7	2.0	8.0	6.491
12	2.0	26.0	6.751
2	2.0	21.0	12.051
5	2.0	22.0	9.691
21	2.0	13.0	7.261
22	2.0	4.0	3.73
11	3.0	2.0	6.851
10	2.0	19.0	21.161
11	2.0	19.0	9.401
10	2.0	15.0	9.891
19	2.0	26.0	9.371
13	3.0	26.0	8.491
12	2.0	15.0	2.75
12	2.0	21.0	6.911
4	3.0	15.0	17.151
13	2.0	19.0	10.441
14	2.0	13.0	2.97
6	2.0	7.0	13.501
15	2.0	22.0	6.411
17	1.0	9.0	2.59
5	3.0	20.0	8.751
1	1.0	24.0	2.17
16	2.0	8.0	5.441
10	3.0	24.0	8.391
22	2.0	21.0	4.341
2	2.0	17.0	24.071
3	2.0	11.0	5.511
13	1.0	9.0	2.75
9	2.0	21.0	5.951
21	2.0	17.0	16.511
21	3.0	23.0	7.291
19	3.0	2.0	5.711
17	2.0	19.0	13.531
21	2.0	21.0	17.201
21	2.0	2.0	5.011
15	2.0	24.0	6.181
11	3.0	14.0	13.361
17	2.0	6.0	8.221
11	3.0	17.0	26.631
6	2.0	20.0	2.57
19	3.0	22.0	7.121
20	3.0	14.0	13.551
19	2.0	23.0	7.161
7	2.0	14.0	9.851
14	2.0	8.0	2.24
1	2.0	12.0	10.591
2	2.0	10.0	3.88
12	2.0	6.0	9.841
13	2.0	2.0	3.58
12	2.0	6.0	4.521
11	2.0	20.0	5.761
13	2.0	16.0	6.621
1	3.0	10.0	11.391
20	2.0	14.0	11.641
13	2.0	13.0	7.721
1	3.0	14.0	17.091
11	3.0	26.0	9.501
15	2.0	23.0	4.201
22	2.0	8.0	5.251
4	3.0	23.0	9.861
17	2.0	2.0	3.27
2	2.0	24.0	7.191
3	2.0	7.0	8.941
16	2.0	17.0	12.261
15	2.0	8.0	3.12
5	2.0	4.0	6.081
15	1.0	11.0	1.5
21	2.0	14.0	4.181
7	2.0	21.0	8.501
22	2.0	26.0	5.521
22	2.0	23.0	3.02
19	2.0	18.0	4.891
4	2.0	8.0	5.331
12	2.0	13.0	10.071
7	2.0	21.0	9.131
7	2.0	21.0	3.24
2	3.0	20.0	9.601
7	2.0	24.0	8.261
21	2.0	16.0	10.881
19	3.0	5.0	4.561
3	2.0	24.0	10.161
17	2.0	17.0	4.351
18	2.0	1.0	3.72
8	3.0	23.0	8.531
12	2.0	25.0	3.5
2	2.0	21.0	27.481
7	3.0	25.0	7.391
16	2.0	24.0	3.6
5	2.0	17.0	4.491
19	2.0	21.0	11.441
8	3.0	1.0	5.221
18	1.0	14.0	2.94
13	1.0	17.0	2.85
11	1.0	18.0	1.71
22	3.0	14.0	20.051
8	2.0	10.0	4.07
14	1.0	24.0	1.85
15	2.0	16.0	2.95
10	3.0	4.0	8.001
14	2.0	12.0	9.841
9	2.0	20.0	3.3
12	2.0	22.0	5.801
12	3.0	14.0	15.471
9	3.0	2.0	5.361
1	2.0	17.0	17.471
7	2.0	19.0	9.041
4	2.0	26.0	8.051
5	2.0	4.0	4.271
2	2.0	22.0	4.01
20	2.0	10.0	9.281
21	3.0	12.0	11.561
17	2.0	15.0	6.551
10	2.0	15.0	7.111
13	2.0	4.0	3.5
1	2.0	15.0	5.291
19	3.0	15.0	14.551
16	2.0	21.0	2.45
11	1.0	17.0	2.31
5	2.0	21.0	19.791
10	2.0	6.0	7.331
5	2.0	17.0	26.491
21	2.0	20.0	4.291
6	1.0	1.0	2.03
20	2.0	14.0	7.691
19	2.0	26.0	8.511
19	2.0	21.0	12.501
16	1.0	24.0	1.91
22	2.0	19.0	7.491
17	2.0	19.0	18.691
6	2.0	6.0	4.571
7	1.0	9.0	1.56
15	2.0	8.0	3.63
2	2.0	14.0	13.011
5	2.0	17.0	12.711
3	2.0	15.0	2.77
9	1.0	20.0	2.52
14	2.0	8.0	2.42
14	2.0	21.0	12.641
14	2.0	19.0	4.861
17	2.0	8.0	4.521
1	2.0	7.0	6.391
3	3.0	10.0	12.051
11	3.0	6.0	12.651
1	2.0	25.0	2.39
10	2.0	15.0	7.381
4	2.0	12.0	4.961
5	1.0	22.0	2.1
8	2.0	21.0	18.521
16	3.0	3.0	6.031
20	3.0	6.0	9.851
9	3.0	2.0	4.911
9	3.0	26.0	12.301
2	3.0	7.0	11.251
2	3.0	7.0	11.741
13	2.0	19.0	2.14
21	2.0	18.0	2.46
4	2.0	23.0	4.201
17	2.0	2.0	5.451
13	2.0	12.0	4.251
15	2.0	21.0	2.56
22	2.0	26.0	7.331
12	2.0	7.0	7.161
17	3.0	19.0	19.191
19	3.0	21.0	21.081
18	2.0	6.0	13.401
4	2.0	24.0	4.401
13	2.0	2.0	2.16
11	2.0	22.0	5.851
11	2.0	1.0	3.69
9	3.0	16.0	8.411
3	2.0	24.0	3.28
17	3.0	20.0	8.571
14	2.0	17.0	7.081
7	3.0	1.0	7.251
18	2.0	7.0	4.691
15	1.0	7.0	2.26
6	3.0	10.0	9.571
14	2.0	22.0	7.401
15	3.0	13.0	13.221
5	3.0	2.0	7.371
7	1.0	11.0	2.69
5	2.0	24.0	5.951
12	2.0	13.0	6.621
18	1.0	5.0	2.17
17	3.0	6.0	15.501
6	3.0	14.0	10.671
16	3.0	3.0	5.841
5	2.0	16.0	3.67
5	2.0	12.0	11.481
2	2.0	24.0	5.891
17	3.0	17.0	28.441
6	2.0	26.0	6.191
11	3.0	5.0	7.421
5	2.0	2.0	3.4
19	2.0	21.0	19.361
12	3.0	7.0	11.031
7	2.0	24.0	2.72
20	2.0	14.0	6.781
22	2.0	7.0	5.341
18	3.0	12.0	12.931
17	2.0	6.0	11.771
13	2.0	21.0	4.411
14	3.0	26.0	9.301
10	1.0	23.0	2.48
5	2.0	17.0	5.441
17	2.0	11.0	9.091
19	2.0	3.0	3.15
22	2.0	15.0	12.801
15	2.0	14.0	10.821
10	2.0	12.0	3.42
14	2.0	16.0	3.85
14	2.0	21.0	6.381
22	2.0	19.0	20.291
10	2.0	15.0	3.42
14	3.0	9.0	4.621
11	3.0	18.0	7.341
4	2.0	20.0	2.89
19	3.0	17.0	20.581
22	2.0	6.0	7.531
11	2.0	20.0	2.57
1	2.0	15.0	10.211
15	3.0	7.0	13.051
18	2.0	6.0	15.071
14	1.0	1.0	2.35
2	2.0	11.0	5.211
18	2.0	12.0	2.76
8	3.0	4.0	8.401
6	3.0	21.0	19.591
20	3.0	13.0	6.711
8	2.0	10.0	9.431
13	2.0	12.0	4.04
10	2.0	19.0	20.911
3	1.0	25.0	1.84
17	2.0	17.0	7.341
1	2.0	25.0	4.401
20	2.0	6.0	4.841
22	2.0	20.0	4.09
8	2.0	14.0	4.571
17	2.0	8.0	4.911
15	3.0	5.0	5.641
22	2.0	15.0	6.651
10	2.0	20.0	4.291
8	2.0	7.0	7.161
9	3.0	3.0	4.531
4	2.0	24.0	5.541
2	2.0	17.0	19.541
6	2.0	21.0	2.02
11	2.0	11.0	9.921
1	2.0	21.0	19.431
18	2.0	14.0	4.741
14	3.0	6.0	10.701
22	2.0	21.0	9.451
8	2.0	10.0	9.611
4	2.0	3.0	6.451
1	2.0	6.0	11.761
1	2.0	6.0	5.071
1	2.0	19.0	5.291
21	2.0	19.0	19.171
11	2.0	25.0	4.341
4	2.0	14.0	8.441
17	2.0	6.0	6.911
10	2.0	22.0	9.901
6	1.0	9.0	1.79
6	3.0	14.0	11.801
19	2.0	10.0	6.211
8	2.0	22.0	7.411
2	2.0	18.0	7.201
1	1.0	26.0	1.98
5	3.0	6.0	12.041
20	2.0	11.0	7.871
8	1.0	14.0	2.27
6	2.0	17.0	10.261
10	2.0	14.0	4.14
18	2.0	25.0	3.93
1	2.0	17.0	5.861
13	3.0	4.0	6.881
17	2.0	23.0	5.241
6	2.0	19.0	11.811
6	2.0	24.0	3.31
16	2.0	13.0	3.02
17	2.0	17.0	24.681
5	2.0	10.0	10.521
16	2.0	15.0	15.211
2	1.0	13.0	3.34
20	2.0	20.0	4.02
21	2.0	13.0	3.53
15	2.0	24.0	6.441
3	2.0	11.0	11.821
2	2.0	19.0	12.811
11	2.0	1.0	5.181
19	2.0	3.0	5.261
7	2.0	17.0	21.121
16	2.0	10.0	2.5
20	1.0	23.0	3.31
14	2.0	23.0	5.171
18	2.0	17.0	8.761
22	3.0	2.0	10.251
17	2.0	6.0	8.201
4	2.0	21.0	10.111
5	2.0	6.0	10.761
5	2.0	21.0	8.401
16	2.0	16.0	7.331
20	3.0	12.0	14.001
14	2.0	21.0	11.991
10	2.0	15.0	7.791
3	2.0	7.0	5.071
10	2.0	6.0	6.961
2	3.0	19.0	17.831
8	3.0	7.0	7.881
22	2.0	25.0	7.521
16	2.0	7.0	7.881
11	2.0	16.0	6.391
9	3.0	25.0	5.701
16	1.0	3.0	2.23
10	2.0	21.0	8.381
7	2.0	19.0	9.751
8	1.0	19.0	1.43
10	3.0	26.0	11.491
17	3.0	4.0	8.951
14	2.0	17.0	7.801
7	2.0	3.0	5.471
17	1.0	10.0	2.09
9	2.0	23.0	5.311
18	2.0	22.0	4.711
16	2.0	15.0	11.161
12	2.0	21.0	3.81
5	2.0	17.0	20.801
2	2.0	24.0	6.801
9	2.0	15.0	13.301
21	2.0	6.0	6.071
11	2.0	26.0	3.28
4	2.0	23.0	4.14
8	2.0	17.0	5.141
1	2.0	6.0	2.29
15	3.0	16.0	10.661
14	3.0	4.0	7.101
2	2.0	4.0	6.941
16	3.0	1.0	4.691
12	2.0	19.0	11.791
3	2.0	17.0	9.061
7	2.0	4.0	3.6
10	2.0	15.0	3.14
9	2.0	9.0	3.92
10	2.0	8.0	4.481
13	2.0	17.0	13.671
16	2.0	15.0	10.051
22	2.0	19.0	12.761
2	2.0	21.0	22.461
5	3.0	21.0	24.941
3	3.0	22.0	12.281
11	3.0	19.0	17.381
2	2.0	18.0	4.721
10	2.0	5.0	2.26
4	2.0	10.0	11.011
12	2.0	25.0	6.581
14	2.0	25.0	4.981
20	2.0	15.0	4.961
13	3.0	26.0	9.291
2	2.0	15.0	17.901
8	2.0	10.0	1.97
19	3.0	10.0	9.951
3	3.0	22.0	12.511
18	2.0	21.0	2.58
4	2.0	21.0	15.491
9	3.0	8.0	7.461
20	1.0	11.0	2.28
10	2.0	14.0	11.491
7	2.0	10.0	4.401
16	3.0	25.0	7.571
5	3.0	8.0	7.101
1	2.0	22.0	6.921
12	2.0	21.0	3.04
5	2.0	10.0	13.761
15	1.0	5.0	2.2
17	1.0	25.0	1.82
3	2.0	3.0	5.931
7	3.0	2.0	8.331
2	2.0	15.0	13.501
10	2.0	1.0	1.98
11	2.0	24.0	3.37
21	2.0	13.0	4.791
13	3.0	7.0	9.561
16	2.0	16.0	3.33
4	2.0	19.0	12.781
8	2.0	17.0	17.971
10	2.0	17.0	5.631
2	1.0	10.0	3.22
4	2.0	25.0	4.401
11	2.0	10.0	8.551
2	1.0	5.0	3.16
10	2.0	23.0	7.741
17	2.0	14.0	11.451
16	2.0	19.0	12.031
15	1.0	18.0	2.27
1	2.0	23.0	8.901
14	2.0	21.0	4.641
8	2.0	18.0	6.861
8	1.0	13.0	2.31
8	2.0	17.0	12.311
17	2.0	20.0	5.211
3	2.0	12.0	9.551
3	2.0	21.0	6.561
14	1.0	13.0	1.34
3	2.0	8.0	4.961
14	3.0	9.0	3.96
13	2.0	17.0	13.571
14	2.0	6.0	7.931
20	2.0	21.0	9.321
19	2.0	16.0	5.591
17	2.0	17.0	14.311
10	2.0	18.0	7.601
8	2.0	6.0	6.261
2	2.0	21.0	9.581
13	2.0	7.0	4.761
22	2.0	23.0	6.271
13	2.0	15.0	4.551
6	2.0	21.0	12.901
7	2.0	6.0	10.721
5	2.0	23.0	7.841
2	2.0	17.0	22.801
20	2.0	19.0	4.741
22	3.0	7.0	14.511
16	2.0	24.0	4.301
10	2.0	11.0	5.391
13	1.0	25.0	2.36
18	2.0	24.0	5.541
9	2.0	13.0	2.19
18	2.0	12.0	9.801
7	3.0	16.0	8.691
17	1.0	25.0	2.08
4	3.0	25.0	8.611
19	2.0	11.0	2.99
6	3.0	20.0	5.831
9	2.0	13.0	7.481
12	2.0	7.0	6.801
2	2.0	18.0	7.171
22	2.0	3.0	4.791
4	3.0	11.0	8.441
21	2.0	10.0	7.231
3	2.0	26.0	7.381
4	2.0	22.0	7.851
1	1.0	5.0	1.81
8	2.0	21.0	10.191
22	2.0	19.0	16.951
3	2.0	6.0	7.621
10	2.0	17.0	11.471
16	2.0	3.0	2.41
9	3.0	2.0	3.78
7	2.0	10.0	9.751
16	2.0	21.0	17.491
1	2.0	15.0	4.581
2	2.0	10.0	12.011
15	2.0	10.0	6.081
3	2.0	24.0	4.611
2	2.0	25.0	6.791
4	2.0	11.0	8.251
4	2.0	22.0	6.701
5	2.0	12.0	4.791
17	2.0	19.0	8.691
2	2.0	14.0	10.681
7	2.0	12.0	4.491
17	2.0	11.0	12.371
7	2.0	17.0	23.951
19	2.0	15.0	11.141
8	2.0	22.0	6.821
10	3.0	9.0	2.62
17	2.0	2.0	5.521
14	2.0	18.0	2.99
2	2.0	17.0	5.301
7	2.0	16.0	5.181
6	3.0	8.0	5.631
